title,revenue,budget,roi,main_genre,release_year,runtime,vote_average
Inception,825532764,160000000,4.159579775,Action,2010,148,8.364
Interstellar,701729206,165000000,3.2529042787878786,Adventure,2014,169,8.417
The Dark Knight,1004558444,185000000,4.430045643243243,Drama,2008,152,8.512
Avatar,2923706026,237000000,11.336312345991562,Action,2009,162,7.573
The Avengers,1518815515,220000000,5.903706886363636,Science Fiction,2012,143,7.71
Deadpool,783100000,58000000,12.501724137931035,Action,2016,108,7.606
Avengers: Infinity War,2052415039,300000000,5.841383463333333,Adventure,2018,149,8.255
Fight Club,100853753,63000000,0.6008532222222223,Drama,1999,139,8.438
Guardians of the Galaxy,772776600,170000000,3.545744705882353,Action,2014,121,7.906
Pulp Fiction,213900000,8500000,24.16470588235294,Thriller,1994,154,8.488
Forrest Gump,677387716,55000000,11.316140290909091,Comedy,1994,142,8.477
Harry Potter and the Philosopher's Stone,976475550,125000000,6.8118044,Adventure,2001,152,7.916
Iron Man,585174222,140000000,3.1798158714285716,Action,2008,126,7.64
Django Unchained,425368238,100000000,3.25368238,Drama,2012,165,8.171
The Shawshank Redemption,28341469,25000000,0.13365876,Drama,1994,142,8.702
Avengers: Endgame,2800000000,356000000,6.865168539325842,Adventure,2019,181,8.263
The Matrix,463517383,63000000,6.357418777777778,Action,1999,136,8.206
Titanic,2264162353,200000000,10.320811765,Drama,1997,194,7.9
Joker,1074458282,55000000,18.535605127272728,Crime,2019,122,8.168
The Lord of the Rings: The Fellowship of the Ring,871368364,93000000,8.369552301075268,Adventure,2001,179,8.402
The Lord of the Rings: The Return of the King,1118888979,94000000,10.903074244680852,Adventure,2003,201,8.474
Shutter Island,294800000,80000000,2.685,Drama,2010,138,8.2
The Wolf of Wall Street,392000000,100000000,2.92,Crime,2013,180,8.035
Avengers: Age of Ultron,1405403694,365000000,2.8504210794520546,Action,2015,141,7.276
Captain America: Civil War,1155046416,250000000,3.620185664,Adventure,2016,147,7.4
The Dark Knight Rises,1081041287,250000000,3.324165148,Action,2012,165,7.777
Iron Man 3,1215577205,200000000,5.077886025,Action,2013,130,6.928
Black Panther,1349926083,200000000,5.749630415,Action,2018,135,7.39
Doctor Strange,676343174,180000000,2.757462077777778,Action,2016,115,7.427
Mad Max: Fury Road,378858340,150000000,1.5257222666666668,Action,2015,121,7.582
Inglourious Basterds,321457747,70000000,3.5922535285714288,Drama,2009,153,8.215
The Hunger Games,694394724,75000000,8.25859632,Science Fiction,2012,142,7.193
Spider-Man: Homecoming,880166924,175000000,4.02952528,Action,2017,133,7.345
Harry Potter and the Chamber of Secrets,876688482,100000000,7.76688482,Adventure,2002,161,7.721
Guardians of the Galaxy Vol. 2,863756051,200000000,3.318780255,Science Fiction,2017,137,7.624
The Lord of the Rings: The Two Towers,926287400,79000000,10.725156962025316,Adventure,2002,179,8.385
Captain America: The First Avenger,370569774,140000000,1.646926957142857,Action,2011,124,6.995
Suicide Squad,746846894,175000000,3.2676965371428572,Action,2016,123,5.909
Harry Potter and the Prisoner of Azkaban,789804554,130000000,5.075419646153846,Adventure,2004,141,8.02
Thor,449326618,150000000,1.9955107866666666,Adventure,2011,115,6.768
Iron Man 2,623933331,200000000,2.119666655,Adventure,2010,124,6.835
Batman Begins,374218673,150000000,1.4947911533333333,Action,2005,140,7.701
Thor: Ragnarok,855301806,180000000,3.7516767,Action,2017,131,7.595
Inside Out,857611174,175000000,3.90063528,Animation,2015,95,7.922
Jurassic World,1671537444,150000000,10.14358296,Action,2015,124,6.682
Se7en,327311859,33000000,8.918541181818181,Crime,1995,127,8.368
